NAMESPACE                LAST SEEN             TYPE      REASON                         OBJECT                                                             MESSAGE
preprod-plt-25-03-2026   58m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled up replica set stripe-deployment-plt-25-03-2026-6ccc74b4c from 0 to 1
preprod-plt-25-03-2026   58m                   Normal    Scheduled                      Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-zhcbz               Successfully assigned preprod-plt-25-03-2026/stripe-deployment-plt-25-03-2026-6ccc74b4c-zhcbz to minikube
preprod-plt-25-03-2026   57m (x117 over 82m)   Warning   Failed                         Pod/django-deployment-575d9bdf9c-hkm5m                             Error: configmap "django-app-configmap" not found
preprod-plt-25-03-2026   57m (x117 over 82m)   Normal    Pulled                         Pod/django-deployment-575d9bdf9c-hkm5m                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   57m (x117 over 82m)   Normal    Pulled                         Pod/django-deployment-575d9bdf9c-jrjrd                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   57m (x117 over 82m)   Warning   Failed                         Pod/django-deployment-575d9bdf9c-jrjrd                             Error: configmap "django-app-configmap" not found
preprod-plt-25-03-2026   57m (x117 over 82m)   Warning   Failed                         Pod/stripe-deployment-plt-25-03-2026-644c78f584-hs4vr              Error: configmap "stripe-configmap-plt-25-03-2026" not found
preprod-plt-25-03-2026   57m (x117 over 82m)   Normal    Pulled                         Pod/stripe-deployment-plt-25-03-2026-644c78f584-hs4vr              Container image "plt/stripe-app-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   56m (x120 over 82m)   Warning   Failed                         Pod/stripe-deployment-plt-25-03-2026-644c78f584-2s7ph              Error: configmap "stripe-configmap-plt-25-03-2026" not found
preprod-plt-25-03-2026   56m (x120 over 82m)   Normal    Pulled                         Pod/stripe-deployment-plt-25-03-2026-644c78f584-2s7ph              Container image "plt/stripe-app-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   54m (x19 over 58m)    Warning   Failed                         Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-zhcbz               Error: configmap "stripe-configmap-plt-25-03-2026" not found
preprod-plt-25-03-2026   54m                   Normal    Created                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-zhcbz               Container created
preprod-plt-25-03-2026   54m                   Normal    SuccessfulDelete               ReplicaSet/stripe-deployment-plt-25-03-2026-644c78f584             Deleted pod: stripe-deployment-plt-25-03-2026-644c78f584-2s7ph
preprod-plt-25-03-2026   54m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled up replica set stripe-deployment-plt-25-03-2026-6ccc74b4c from 1 to 2
preprod-plt-25-03-2026   54m                   Normal    Started                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-zhcbz               Container started
preprod-plt-25-03-2026   54m                   Normal    SuccessfulCreate               ReplicaSet/stripe-deployment-plt-25-03-2026-6ccc74b4c              Created pod: stripe-deployment-plt-25-03-2026-6ccc74b4c-82qbz
preprod-plt-25-03-2026   54m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled down replica set stripe-deployment-plt-25-03-2026-644c78f584 from 3 to 2
preprod-plt-25-03-2026   54m (x20 over 58m)    Normal    Pulled                         Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-zhcbz               Container image "plt/stripe-app-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   54m                   Normal    Scheduled                      Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-82qbz               Successfully assigned preprod-plt-25-03-2026/stripe-deployment-plt-25-03-2026-6ccc74b4c-82qbz to minikube
preprod-plt-25-03-2026   54m                   Normal    SuccessfulCreate               ReplicaSet/stripe-deployment-plt-25-03-2026-6ccc74b4c              Created pod: stripe-deployment-plt-25-03-2026-6ccc74b4c-wcvw4
preprod-plt-25-03-2026   54m                   Normal    SuccessfulDelete               ReplicaSet/stripe-deployment-plt-25-03-2026-644c78f584             Deleted pod: stripe-deployment-plt-25-03-2026-644c78f584-hs4vr
preprod-plt-25-03-2026   54m                   Normal    Pulled                         Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-82qbz               Container image "plt/stripe-app-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   54m                   Normal    Created                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-82qbz               Container created
preprod-plt-25-03-2026   54m                   Normal    Started                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-82qbz               Container started
preprod-plt-25-03-2026   54m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled down replica set stripe-deployment-plt-25-03-2026-644c78f584 from 2 to 1
preprod-plt-25-03-2026   54m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled up replica set stripe-deployment-plt-25-03-2026-6ccc74b4c from 2 to 3
preprod-plt-25-03-2026   54m                   Normal    Scheduled                      Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-wcvw4               Successfully assigned preprod-plt-25-03-2026/stripe-deployment-plt-25-03-2026-6ccc74b4c-wcvw4 to minikube
preprod-plt-25-03-2026   54m                   Normal    Started                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-wcvw4               Container started
preprod-plt-25-03-2026   54m                   Normal    SuccessfulDelete               ReplicaSet/stripe-deployment-plt-25-03-2026-644c78f584             Deleted pod: stripe-deployment-plt-25-03-2026-644c78f584-fwb5f
preprod-plt-25-03-2026   54m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled down replica set stripe-deployment-plt-25-03-2026-644c78f584 from 1 to 0
preprod-plt-25-03-2026   54m                   Normal    Pulled                         Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-wcvw4               Container image "plt/stripe-app-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   54m                   Normal    Created                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-wcvw4               Container created
preprod-plt-25-03-2026   54m                   Normal    Started                        Pod/stripe-deployment-plt-25-03-2026-689986d8cd-7gbp7              Container started
preprod-plt-25-03-2026   54m                   Normal    Pulled                         Pod/stripe-deployment-plt-25-03-2026-689986d8cd-7gbp7              Container image "plt/stripe-app-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   54m                   Normal    Created                        Pod/stripe-deployment-plt-25-03-2026-689986d8cd-7gbp7              Container created
preprod-plt-25-03-2026   54m                   Normal    SuccessfulCreate               ReplicaSet/stripe-deployment-plt-25-03-2026-689986d8cd             Created pod: stripe-deployment-plt-25-03-2026-689986d8cd-7gbp7
preprod-plt-25-03-2026   54m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled up replica set stripe-deployment-plt-25-03-2026-689986d8cd from 0 to 1
preprod-plt-25-03-2026   54m                   Normal    Scheduled                      Pod/stripe-deployment-plt-25-03-2026-689986d8cd-7gbp7              Successfully assigned preprod-plt-25-03-2026/stripe-deployment-plt-25-03-2026-689986d8cd-7gbp7 to minikube
preprod-plt-25-03-2026   54m                   Normal    Killing                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-wcvw4               Stopping container container-stripe-plt-25-03-2026
preprod-plt-25-03-2026   54m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled down replica set stripe-deployment-plt-25-03-2026-6ccc74b4c from 3 to 2
preprod-plt-25-03-2026   54m                   Normal    SuccessfulCreate               ReplicaSet/stripe-deployment-plt-25-03-2026-689986d8cd             Created pod: stripe-deployment-plt-25-03-2026-689986d8cd-m27k9
preprod-plt-25-03-2026   54m                   Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        Scaled up replica set stripe-deployment-plt-25-03-2026-689986d8cd from 1 to 2
preprod-plt-25-03-2026   54m                   Normal    SuccessfulDelete               ReplicaSet/stripe-deployment-plt-25-03-2026-6ccc74b4c              Deleted pod: stripe-deployment-plt-25-03-2026-6ccc74b4c-wcvw4
preprod-plt-25-03-2026   54m                   Normal    Scheduled                      Pod/stripe-deployment-plt-25-03-2026-689986d8cd-m27k9              Successfully assigned preprod-plt-25-03-2026/stripe-deployment-plt-25-03-2026-689986d8cd-m27k9 to minikube
preprod-plt-25-03-2026   54m                   Normal    Created                        Pod/stripe-deployment-plt-25-03-2026-689986d8cd-m27k9              Container created
preprod-plt-25-03-2026   54m                   Normal    SuccessfulDelete               ReplicaSet/stripe-deployment-plt-25-03-2026-6ccc74b4c              Deleted pod: stripe-deployment-plt-25-03-2026-6ccc74b4c-82qbz
preprod-plt-25-03-2026   54m                   Normal    Started                        Pod/stripe-deployment-plt-25-03-2026-689986d8cd-m27k9              Container started
preprod-plt-25-03-2026   54m                   Normal    Killing                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-82qbz               Stopping container container-stripe-plt-25-03-2026
preprod-plt-25-03-2026   54m                   Normal    SuccessfulCreate               ReplicaSet/stripe-deployment-plt-25-03-2026-689986d8cd             Created pod: stripe-deployment-plt-25-03-2026-689986d8cd-z7mmp
preprod-plt-25-03-2026   54m                   Normal    Pulled                         Pod/stripe-deployment-plt-25-03-2026-689986d8cd-m27k9              Container image "plt/stripe-app-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   54m                   Normal    Scheduled                      Pod/stripe-deployment-plt-25-03-2026-689986d8cd-z7mmp              Successfully assigned preprod-plt-25-03-2026/stripe-deployment-plt-25-03-2026-689986d8cd-z7mmp to minikube
preprod-plt-25-03-2026   54m                   Normal    SuccessfulDelete               ReplicaSet/stripe-deployment-plt-25-03-2026-6ccc74b4c              Deleted pod: stripe-deployment-plt-25-03-2026-6ccc74b4c-zhcbz
preprod-plt-25-03-2026   54m                   Normal    Killing                        Pod/stripe-deployment-plt-25-03-2026-6ccc74b4c-zhcbz               Stopping container container-stripe-plt-25-03-2026
preprod-plt-25-03-2026   54m                   Normal    Started                        Pod/stripe-deployment-plt-25-03-2026-689986d8cd-z7mmp              Container started
preprod-plt-25-03-2026   54m                   Normal    Created                        Pod/stripe-deployment-plt-25-03-2026-689986d8cd-z7mmp              Container created
preprod-plt-25-03-2026   54m                   Normal    Pulled                         Pod/stripe-deployment-plt-25-03-2026-689986d8cd-z7mmp              Container image "plt/stripe-app-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   54m (x3 over 54m)     Normal    ScalingReplicaSet              Deployment/stripe-deployment-plt-25-03-2026                        (combined from similar events): Scaled down replica set stripe-deployment-plt-25-03-2026-6ccc74b4c from 1 to 0
preprod-plt-25-03-2026   53m (x140 over 83m)   Warning   Failed                         Pod/django-deployment-575d9bdf9c-zrrts                             Error: configmap "django-app-configmap" not found
preprod-plt-25-03-2026   53m (x140 over 83m)   Normal    Pulled                         Pod/django-deployment-575d9bdf9c-zrrts                             Container image "plt/app-rocket-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   53m (x25 over 58m)    Warning   Failed                         Pod/django-deployment-7d54f6d9fb-vj6xk                             Error: configmap "django-app-configmap" not found
preprod-plt-25-03-2026   53m                   Normal    SuccessfulDelete               ReplicaSet/django-deployment-575d9bdf9c                            Deleted pod: django-deployment-575d9bdf9c-zrrts
